kernel,blksz_x,blksz_y,blksz_z,grdsz_x,grdsz_y,grdsz_z,numele,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,stall_sleeping,duration,
KernelMatMultFast,8,8,1,32,32,1,256,77468.000000,100.000000,100.000000,96.966651,0.000016,1.164771,1.001289,0.000000,0.000000,3.999603,4.000000,131241,1221351,0,0,524236,8192,0,5,304400,8208,31,74,41.542518,0.000000,45.184817,722.957065,45.180335,722.957065,0.010922,41.538462,100.000000,100.000000,2.735796,6.530615,408.347370,26.122472,722.957065,26.234166,724.369090,0.000000,451.844727,0.000000,0.000000,421.039742,45.243077,100.009919,100.000000,1184533,0,0,0,0,33554432,16777216,0,16777216,0,60592128,60593074,0.478261,95.045263,3.643992,0.000027,0.383837,0.018849,0.005339,0.265787,24.226079,33554432,0,529727488,0,44236800,42336256,1249116160,0,60593074,1984512,1984512,2107392,2107392,0,0.000000,0.000000,0,303104,0.000715,0.157929,8192,0,0,0,0,0,0.714072,1.651216,98.467654,0.394608,1.688895,0.000000,0.704324,0.000000,0.000000,351.100000,
KernelMatMultFast,16,16,1,32,32,1,512,142748.000000,100.000000,100.000000,96.952759,0.000007,1.125289,1.004719,0.000000,0.000000,3.978790,4.000000,526762,9439605,0,0,2086032,32768,0,5,1572816,32784,991,38699,25.433075,0.000000,29.863883,477.822124,29.705532,477.822124,1.502729,24.066444,99.178445,60.876465,14.450735,564.307812,508.899957,22.564409,477.822124,22.397229,478.055435,0.000000,74.658203,0.000000,0.000000,537.687793,30.004804,100.533069,100.000000,8934208,0,0,0,0,268435456,134217728,0,134217728,0,441597952,441600959,0.274351,56.436476,1.390640,0.000002,1.507855,0.014129,0.001784,21.375636,28.933151,268435456,0,3863740416,0,311164928,303562752,9090105344,0,441600959,14229504,14229504,14721024,14721024,0,0.000000,0.000000,0,1584556,0.000274,18.998854,32768,0,0,0,0,0,0.664988,2.134694,92.232706,0.983719,12.029022,0.000000,0.934615,0.000000,0.000000,2.087142,
KernelMatMultFast,32,32,1,32,32,1,1024,273308.000000,100.000000,100.000000,96.944885,0.000007,1.132250,1.014285,0.000000,0.000000,4.000000,4.000000,2127110,75984017,0,0,8388608,131072,0,5,8266720,131088,1017607,177246,2.906072,0.000000,16.805397,268.886358,16.805397,268.886358,0.000000,1.119666,86.045558,0.000000,2.038633,363.609554,555.103285,16.614293,268.886358,16.561212,268.919181,0.000000,10.501953,0.000000,0.000000,608.893207,17.045464,100.000000,100.000000,69271552,0,0,0,0,2147483648,1073741824,0,1073741824,0,3360227328,3360247895,0.237602,49.417563,1.223154,0.000398,1.445284,0.015811,0.001288,24.943661,46.984548,2147483648,0,29413605376,0,2318401536,2287992832,69109547008,0,3360247895,107249664,107249664,109215744,109215744,0,0.000000,0.000000,0,8293216,0.010200,22.705038,131072,0,0,0,0,0,0.542797,2.143607,96.292581,0.993856,15.716849,0.000000,1.052325,0.000000,0.000000,14.845076,
KernelMatMultFast,8,8,1,36,36,1,288,87124.000000,100.000000,100.000000,96.966536,0.000010,1.160438,1.002117,0.000000,0.000000,3.965706,4.000000,187019,1732525,0,0,740096,10368,0,5,586898,10384,15,88,21.337199,0.000000,51.800342,736.715971,51.356237,736.715971,1.002543,21.190201,100.092815,100.000000,1.065848,6.252988,510.791996,40.671293,736.715971,40.725626,737.852879,0.000000,363.807617,0.000000,0.000000,480.888779,51.909980,100.864753,100.000000,1840259,0,0,0,0,47775744,23887872,0,23887872,0,86235840,86236738,0.459018,91.309625,3.318014,0.000001,0.389940,0.015247,0.002512,3.743716,24.305773,47775744,0,754043904,0,62954496,60217344,1777655808,0,86236738,2822688,2822688,2998944,2998944,0,0.000000,0.000000,0,586115,0.000550,0.761377,10368,0,0,0,0,0,0.716326,1.993158,72.886066,0.503698,2.221481,0.000000,0.806737,0.000000,0.000000,431.933000,
KernelMatMultFast,16,16,1,36,36,1,576,160564.000000,100.000000,100.000000,96.952695,0.000006,1.120363,1.005027,0.000000,0.000000,3.929473,4.000000,750249,13381544,0,0,2933336,41472,0,5,2912010,41488,5255,47777,2.245052,0.000000,26.673310,379.353744,26.203014,379.353744,1.822691,1.865064,97.942188,50.000000,48.068669,437.027001,459.755822,26.168926,379.353744,26.012512,379.500099,0.000000,46.832031,0.000000,0.000000,478.140638,26.807410,101.794817,100.000000,12867015,0,0,0,0,382205952,191102976,0,191102976,0,1664727552,628615841,0.239227,48.899953,1.460063,0.000002,1.967478,0.014265,0.003642,24.827274,29.053129,382205952,0,5500514304,0,442920960,431972352,12939264000,0,628615841,20248704,20248704,20953728,20953728,0,0.000000,0.000000,0,2929520,0.000191,22.587904,41472,0,0,0,0,0,2.069087,2.068053,84.854179,0.987317,15.220045,0.000000,0.096318,0.000000,0.000000,3.359510,
KernelMatMultFast,32,32,1,36,36,1,1152,307444.000000,100.000000,100.000000,96.944850,0.000007,1.135466,1.013701,0.000000,0.000000,4.000000,4.000000,3026895,108495454,0,0,11943936,165888,0,5,11786252,165904,1569395,214297,0.925728,0.000000,16.295870,231.763486,16.295870,231.763486,0.000000,1.533631,87.276913,0.000000,2.141225,299.396097,538.216379,16.042481,231.763486,16.080732,231.785839,0.000000,7.151367,0.000000,0.000000,592.108944,16.519140,100.000000,100.000000,98620416,0,0,0,0,3057647616,1528823808,0,1528823808,0,4783795200,4783828535,0.232223,48.285564,1.217470,0.000357,1.459278,0.015460,0.001191,25.432651,46.855828,3057647616,0,41876766720,0,3300507648,3256713216,98386182144,0,4783828535,152658432,152658432,155478528,155478528,0,0.000000,0.000000,0,11758216,0.009736,23.346070,165888,0,0,0,0,0,0.564641,2.152076,96.693414,0.994226,16.494269,0.000000,1.019639,0.000000,0.000000,21.821542,
KernelMatMultFast,8,8,1,40,40,1,320,96780.000000,100.000000,100.000000,96.966445,0.000009,1.157290,1.001711,0.000000,0.000000,3.992281,4.000000,256438,2370129,0,0,1022024,12800,0,5,538153,12816,0,86,46.949819,0.000000,56.705046,725.824581,56.595623,725.824581,0.472883,46.867670,99.992566,100.000000,0.000000,4.876632,564.969425,29.796508,725.824581,29.800772,726.731862,0.000000,290.327148,0.000000,0.000000,524.993254,56.802064,100.193342,100.000000,2550605,0,0,0,0,65536000,32768000,0,32768000,0,118252800,118253838,0.394274,78.274859,2.300751,0.000002,0.540285,0.013103,0.002148,11.194234,24.366407,65536000,0,1034137600,0,86323200,82534400,2437529600,0,118253838,3868800,3868800,4112000,4112000,0,0.000000,0.000000,0,538076,0.000426,7.279918,12800,0,0,0,0,0,0.713740,2.100012,98.914118,0.621020,4.783133,0.000000,0.859484,0.000000,0.000000,529.146000,
KernelMatMultFast,16,16,1,40,40,1,640,178380.000000,100.000000,100.000000,96.952643,0.000006,1.120978,1.004482,0.000000,0.000000,3.955982,4.000000,1028590,18366109,0,0,4050926,51200,0,5,3261532,51216,80955,54532,19.489504,0.000000,29.563333,378.410659,29.238006,378.410659,0.259745,20.591387,98.448690,50.003906,598.324902,403.036916,513.550429,23.399739,378.410659,23.540468,378.528913,0.000000,37.839844,0.000000,0.000000,530.237689,29.695848,101.112684,100.000000,17788104,0,0,0,0,524288000,262144000,0,262144000,0,862131200,862136643,0.256999,52.594954,1.443487,0.000002,1.714767,0.013135,0.003949,23.069278,29.038863,524288000,0,7544422400,0,607436800,592281600,17745510400,0,862136643,27763200,27763200,28736000,28736000,0,0.000000,0.000000,0,3242034,0.000206,20.903222,51200,0,0,0,0,0,0.655658,2.093622,96.348275,0.985212,13.548171,0.000000,0.968299,0.000000,0.000000,4.138742,
KernelMatMultFast,32,32,1,40,40,1,1280,341580.000000,100.000000,100.000000,96.944823,0.000006,1.145982,1.013826,0.000000,0.000000,4.000000,4.000000,4152632,150206092,0,0,16384000,204800,0,5,15412624,204816,2254279,256039,3.334539,0.000000,17.181250,219.919992,17.181250,219.919992,1.681715,3.224778,83.662110,0.000000,2.363973,274.941871,567.410766,16.620267,219.919992,16.162606,219.937174,0.000000,5.496094,0.000000,0.000000,630.060632,17.418800,100.000000,100.000000,135270400,0,0,0,0,4194304000,2097152000,0,2097152000,0,17488896000,6561523920,0.231540,48.035015,1.151235,0.000382,1.465672,0.015186,0.001114,25.596165,46.437285,4194304000,0,57440665600,0,4526899200,4466278400,134945177600,0,6561523920,209356800,209356800,213248000,213248000,0,0.000000,0.000000,0,15849048,0.009605,23.494086,204800,0,0,0,0,0,2.154262,2.154196,99.975214,0.994587,16.676833,0.000000,1.075589,0.000000,0.000000,28.369334,
KernelMatMultFast,8,8,1,44,44,1,352,106436.000000,100.000000,100.000000,96.966369,0.000006,1.132378,1.002122,0.000000,0.000000,3.951426,4.000000,341459,3086735,0,0,1346393,15488,0,5,1235667,15504,103,182,9.668613,0.000000,52.960285,616.265127,52.317158,616.265127,1.712433,8.708953,98.882932,100.000000,4.098352,7.241750,523.896267,48.295586,616.265127,48.014648,616.901765,0.000000,203.722656,0.000000,0.000000,479.768395,53.072660,101.229284,100.000000,3370645,0,0,0,0,87228416,43614208,0,43614208,0,412120192,157351315,0.326295,64.822317,2.584767,0.000001,4.101349,0.011987,0.001541,15.915924,24.848069,87228416,0,1376201728,0,114859008,109778944,3243311104,0,157351315,5145888,5145888,5471136,5471136,0,0.000000,0.000000,0,1242897,0.000320,12.235500,15488,0,0,0,0,0,2.043866,2.046764,93.985645,0.742985,7.353966,0.000000,0.832833,0.000000,0.000000,756.824000,
