kernel,blksz_x,blksz_y,grdsz_x,grdsz_y,numele,inst_per_warp,warp_nonpred_execution_efficiency,inst_replay_overhead,gld_transactions_per_request,gld_transactions,gst_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_write_throughput,gld_efficiency,tex_cache_transactions,flop_count_sp,flop_count_sp_add,flop_count_sp_mul,inst_executed,inst_issued,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_other,stall_constant_memory_dependency,stall_pipe_busy,inst_fp_32,inst_integer,inst_control,inst_compute_ld_st,inst_misc,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,ipc,issued_ipc,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,flop_sp_efficiency,duration,shared_load_transactions_per_request,shared_store_transactions_per_request,shared_store_transactions,shared_load_transactions,shared_load_throughput,shared_store_throughput,stall_texture,stall_sync,shared_efficiency,branch_efficiency,warp_execution_efficiency,local_load_transactions_per_request,local_store_transactions_per_request,gst_transactions_per_request,local_load_transactions,local_store_transactions,local_hit_rate,local_load_throughput,local_store_throughput,gst_efficiency,flop_count_sp_fma,flop_count_sp_special,inst_bit_convert
KernelVectorAddCBTrig,-0.00415,-0.18226, 0.68924,-0.18830, 1.03486,-0.22120,-0.09895,-0.38174,-0.51160,-0.11850, 0.04762,-0.11342, 0.50031,-0.01142,-0.06787,-0.65013, 0.13253,-0.00795,-0.24875,-0.24504, 0.41051, 0.29836,-0.42990, 0.87647, 0.21504,-0.01181, 0.28442, 0.13197, 1.35764, 0.13118, 1.35763, 1.83712, 0.64892,-0.11873,-0.07252,-0.09759,-0.10764,-0.11156,-0.11290, 0.29399, 0.45922,-0.50924,-0.34007,-0.21024, 0.33282,-0.08376,-0.11613,-0.06521,-0.11585,-0.11280,-0.11290,-0.07906,-0.07906,-0.11568,-0.11568,-0.11347,-0.41110, 0.19306, 0.50031,-0.74126, 1.67190, 0.59369, 0.59594, 0.53258, 2.32762,-0.09209, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.11775, 0.58703, 0.70951, 0.37972, 1.40288, 0.61654, 1.26538,-0.51513, 1.04591
KernelVectorAddCBTrig, 1.19218,-0.18226,-0.16092,-0.18830,-0.90603,-0.30904,-0.09392, 0.47045,-0.51160,-0.12267,-0.75261,-0.13676,-0.64835,-0.20882,-0.53195,-0.65013,-0.04298,-0.12925,-0.41014,-0.35612, 0.41070, 0.29786,-0.19662, 0.76355,-0.01518, 0.14736, 0.17207,-0.04995, 0.97806,-0.04057, 0.97809,-0.77498, 0.64892,-0.12113,-0.13702,-0.12773,-0.12407,-0.11697,-0.12352, 0.64572, 0.09784,-0.46651, 0.30196, 1.42091, 1.00784,-0.13313,-0.12159,-0.14192,-0.12168,-0.12256,-0.12352,-0.13697,-0.13697,-0.12246,-0.12246,-0.13675,-0.18203, 0.91465,-0.64835,-0.84757, 1.67816, 0.75901, 1.02096, 1.00409, 1.86643,-0.09761, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.12009,-0.59119, 0.64017, 0.24508, 1.07618, 0.61654,-0.45176,-0.51513,-0.51179
KernelVectorAddCBTrig, 1.43144,-0.18226,-0.58599,-0.18830,-0.90603,-0.30141,-0.09538,-0.03509,-0.51160,-0.12267,-0.75261,-0.13678,-0.64835,-0.20901,-0.60922,-0.65013,-0.49531,-0.44188,-0.82609,-0.64240, 0.41032, 0.29884,-0.18998, 0.80764,-0.46676,-0.74534,-0.22387,-0.52348,-0.00020,-0.51970,-0.00020,-0.77824, 0.64892,-0.12114,-0.13702,-0.12773,-0.12407,-0.10755,-0.12356, 0.61876, 0.66820,-0.56747,-0.56832, 0.68861,-0.47375,-0.13313,-0.12160,-0.14203,-0.12174,-0.12261,-0.12356,-0.13718,-0.13718,-0.12249,-0.12249,-0.13677,-0.37901,-0.41268,-0.64835, 0.99486, 0.21691, 0.60200,-0.44834,-0.24860, 0.93674,-0.09653, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.12009,-0.59119, 0.66629,-0.10194, 0.23419, 0.61654,-0.45176,-0.51513,-0.51179
KernelVectorAddCBTrig,-1.43974,-0.18226,-1.01107,-0.18830,-0.90603, 0.39608,-0.10024,-0.51174,-0.51160,-0.12267,-0.75261,-0.13676,-0.64835,-0.20734,-0.62851,-0.65013,-1.11104,-0.86745,-1.39229,-1.03210, 0.41032, 0.29884,-0.35090, 0.90213,-1.07163,-1.24713,-0.75384,-1.16510,-1.33185,-1.16875,-1.33188, 0.50617, 0.64892,-0.12116,-0.13702,-0.12773,-0.12407,-0.10775,-0.12371, 0.46796, 0.99591,-0.79001,-0.60005,-0.39859,-0.61286,-0.13313,-0.12164,-0.14237,-0.12194,-0.12279,-0.12371,-0.13787,-0.13787,-0.12257,-0.12257,-0.13677,-0.48743,-0.48856,-0.64835,-1.15995,-2.02341, 1.16552,-1.84093,-0.91368,-0.79265,-0.08363, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.12009,-0.59119, 0.70604,-0.57432,-0.91196, 0.61654,-0.45176,-0.51513,-0.51179
KernelVectorAddCBTrigILP2, 0.95291,-0.18226, 0.68924,-0.18830, 1.03486,-0.25756,-0.09612,-0.49368,-0.51160,-0.11850, 0.04762,-0.11344, 0.51182,-0.01142,-0.28048,-0.65013,-0.50189,-0.44643,-0.83214,-0.64657, 0.41617, 0.30189,-0.43644, 0.88719,-0.43996,-0.85063,-0.23675,-0.53033,-0.00170,-0.53343,-0.00172, 0.66449, 0.64892,-0.11869,-0.07178,-0.09727,-0.10745,-0.07093,-0.11231, 0.26244, 0.76190,-0.56333,-0.58556,-0.38893,-0.52830,-0.08320,-0.11553,-0.05580,-0.11565,-0.11248,-0.11231,-0.07124,-0.07124,-0.11578,-0.11578,-0.11349,-0.46371,-0.44359, 0.51182, 0.68195,-0.08843, 0.86590,-0.71216,-0.34896, 0.72222,-0.08523, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.11772, 0.60081, 0.71232,-0.10172, 0.23473, 0.61654, 1.28545,-0.51513, 1.06412
KernelVectorAddCB, 1.19218,-0.18226, 0.68924,-0.18830,-0.90603,-0.33346, 0.39046, 1.39848,-0.51160,-0.12267,-0.75261,-0.13686,-0.97653,-0.21119,-0.63926,-0.65013, 1.32942, 0.81927, 0.85187, 0.51248,-1.60191,-1.45569,-0.05805,-1.47594, 1.24885, 0.24569,-0.21236, 1.37797,-0.90132, 1.37585,-0.90125,-0.76507, 0.64892,-0.12171,-0.15715,-0.13686,-0.12772,-0.11835,-0.12624,-1.04923,-0.95812, 0.90682,-0.22832, 0.34383, 0.70571,-0.14821,-0.12279,-0.16632,-0.12308,-0.12489,-0.12624,-0.15485,-0.15485,-0.12420,-0.12420,-0.13677,-0.45032, 0.47670,-0.97653,-0.50984, 0.25678, 0.79199, 0.90882, 0.36846,-0.83155,-0.09908, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelVectorAddCBTrigILP2_64, 1.55108,-0.18226,-1.43615,-0.18830,-0.90603,-0.17011, 0.11364,-0.21202, 0.45443,-0.12128,-0.48587,-0.13618,-0.32016,-0.20747,-0.08003, 0.94407,-0.73409,-0.60692,-0.53857,-0.44451, 0.81768, 0.55776, 0.02723, 0.58989,-0.68964, 0.70239,-0.15172,-0.73001, 0.50564,-0.72767, 0.50563,-0.77997,-1.07957,-0.12065,-0.13702,-0.12773,-0.12407,-0.10754,-0.12294, 0.73921, 0.85142,-0.76072, 0.22895, 0.31878,-0.43226,-0.13285,-0.12070,-0.14239,-0.12060,-0.12211,-0.12294,-0.13792,-0.13792,-0.12147,-0.12147,-0.13620,-0.34583,-0.39838,-0.32016, 1.22207, 0.47413,-1.81276,-0.35755,-0.16975, 0.25370,-0.09498, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550, 0.44184,-0.11944,-0.26390, 0.62851, 0.06742, 0.64512,-1.13998,-0.45176, 0.28559,-0.35327
KernelVectorAddCBTrigILP4, 1.31181,-0.18226,-0.58599,-0.18830, 1.03486,-0.18266,-0.07966,-0.49007,-0.51160,-0.11850, 0.04762,-0.11340, 0.53182,-0.01134,-0.22085,-0.65013,-0.41044,-0.38323,-0.74805,-0.58869, 0.42617, 0.30710,-0.43739, 0.88663,-0.34529,-0.71750,-0.15672,-0.43504, 0.22227,-0.43667, 0.22226, 0.83352, 0.64892,-0.11868,-0.07050,-0.09671,-0.10712,-0.11094,-0.11167, 0.35270, 0.70508,-0.53468,-0.58210,-0.36514,-0.50380,-0.08222,-0.11522,-0.05278,-0.11574,-0.11170,-0.11167,-0.06895,-0.06895,-0.11586,-0.11586,-0.11349,-0.44572,-0.42835, 0.53182,-0.90420, 0.21597, 0.51366,-0.50768,-0.25309, 0.99766,-0.08703, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.11767, 0.62474, 0.70269,-0.02072, 0.43126, 0.61654, 1.32033,-0.51513, 1.09575
KernelVectorAddCBTrig, 0.23512,-0.18226, 0.26416,-0.18830,-0.90603,-0.30469,-0.09484, 0.51018,-0.51160,-0.12267,-0.75261,-0.13676,-0.64835,-0.20825,-0.53470,-0.65013,-0.19381,-0.23350,-0.54883,-0.45158, 0.41066, 0.29796,-0.26402, 0.76409,-0.15512,-0.05305, 0.03662,-0.20759, 0.65186,-0.19885, 0.65188,-0.77607, 0.64892,-0.12113,-0.13702,-0.12773,-0.12407,-0.10753,-0.12355, 0.49331, 0.26079,-0.56372,-0.01819, 1.22955, 0.93740,-0.13313,-0.12160,-0.14199,-0.12171,-0.12259,-0.12355,-0.13710,-0.13710,-0.12248,-0.12248,-0.13676,-0.15035, 0.81403,-0.64835, 2.12788, 1.38028, 0.28629, 1.00855, 0.80357,-1.17131,-0.09751, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.12009,-0.59119, 0.67287, 0.12936, 0.79542, 0.61654,-0.45176,-0.51513,-0.51179
KernelVectorAddCBTrigILP2,-0.12378,-0.18226, 1.53940,-0.18830,-0.90603,-0.30708,-0.08608, 0.10574,-0.51160,-0.12267,-0.75261,-0.13677,-0.58229,-0.21083,-0.55981,-0.65013,-0.38509,-0.36571,-0.72473,-0.57264, 0.52939, 0.35958,-0.03691, 0.86179,-0.38366,-0.40961,-0.00520,-0.40845, 0.57415,-0.40328, 0.57416,-0.77745, 0.64892,-0.12100,-0.13279,-0.12589,-0.12297,-0.11658,-0.12276, 0.40786, 0.58694,-0.67212,-0.22328, 0.85719, 0.50032,-0.12991,-0.12117,-0.13441,-0.12132,-0.12192,-0.12276,-0.13123,-0.13123,-0.12212,-0.12212,-0.13677,-0.27472, 0.08435,-0.58229,-0.86824, 1.43766, 0.30616, 0.39041, 0.37749, 1.69149,-0.09693, 0.00000, 0.00000,0,0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.27248, 0.11234, 0.61550, 0.61550,-0.53505,-0.11993,-0.51214, 0.70876, 0.12166, 0.77673, 0.61654,-0.33655,-0.51513,-0.40728
