kernel,blksz_x,blksz_y,grdsz_x,grdsz_y,numele,inst_per_warp,warp_nonpred_execution_efficiency,inst_replay_overhead,gld_transactions_per_request,gld_transactions,gst_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_write_throughput,gld_efficiency,tex_cache_transactions,flop_count_sp,flop_count_sp_add,flop_count_sp_mul,inst_executed,inst_issued,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_other,stall_constant_memory_dependency,stall_pipe_busy,inst_fp_32,inst_integer,inst_control,inst_compute_ld_st,inst_misc,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,ipc,issued_ipc,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,flop_sp_efficiency,duration,shared_load_transactions_per_request,shared_store_transactions_per_request,shared_store_transactions,shared_load_transactions,shared_load_throughput,shared_store_throughput,stall_texture,stall_sync,shared_efficiency,branch_efficiency,warp_execution_efficiency,local_load_transactions_per_request,local_store_transactions_per_request,gst_transactions_per_request,local_load_transactions,local_store_transactions,local_hit_rate,local_load_throughput,local_store_throughput,gst_efficiency,flop_count_sp_fma,flop_count_sp_special,inst_bit_convert
KernelMatMultFast,-1.64909, 1.59707,-1.54242, 2.36732,-1.55282,-0.03525, 0.83893,-0.59118,-0.51170,-0.12115,-1.00187,-0.13517,-1.02765,-0.27130,-0.74915, 0.67636,-0.79410, 9.88111,-1.10088, 8.81069,-1.60158, 0.36632, 5.20647, 1.31562,-1.21829,-1.28483, 0.01874,-1.05087, 3.14951,-1.05542, 3.15900, 0.94860, 0.64927,-0.11817,-0.14318,-0.12245,-0.11423,-0.10957,-0.10898,-1.38044, 1.89907,-1.32411, 0.88375,-0.68865,-0.51841,-0.13425,-0.10490,-0.14776,-0.11839,-0.10610,-0.10898,-0.13805,-0.13805,-0.11721,-0.11721,-0.13512,-0.48729,-0.42694,-1.02765,-0.25074, 0.93622, 1.23636,-0.43620,-0.04963,-0.86303,12.37709, 1.16477, 1.00129,131241,1221351,421.03974,45.24308, 0.00003, 0.38384,24.22608, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.61918, 3.63059,-1.54242, 2.36732,-1.55266, 0.21802, 0.82061,-0.62368,-0.51672,-0.11247,-0.94942,-0.09569,-1.01689,-0.27105,-0.71797, 0.16197,-0.96073, 6.19568,-1.25565, 5.43582,-1.55655,-0.40006, 5.16010, 0.22347,-1.08679, 5.57360, 0.24453,-1.09120, 1.50204,-1.09895, 1.50360,-0.49768, 0.66735,-0.09338,-0.03572,-0.01520,-0.00707,-0.05110, 0.00599,-1.44219,-0.34717,-1.44224, 0.51201,-0.70996, 7.16164,-0.02687, 0.01192,-0.02583,-0.08441, 0.01922, 0.00599,-0.01972,-0.01972,-0.07155,-0.07155,-0.09535,-0.48765, 7.06419,-1.01689,-0.35098, 1.97137, 0.56088, 2.14993, 6.23859,-0.72333,-0.02603, 1.12529, 1.00472,526762,9439605,537.68779,30.00480, 0.00000, 1.50785,28.93315, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.55937, 7.69763,-1.54242, 2.36732,-1.55233, 0.72456, 0.81023,-0.62368,-0.51160,-0.07743,-0.73965, 0.11263,-0.97388,-0.00693,-0.60615,-0.55734,-1.10276, 3.05447,-1.38467, 2.55932,-1.60191,-1.40658, 4.41890,-1.47594,-1.22612, 3.10581, 0.34827,-1.15863, 0.09786,-1.16517, 0.09805,-0.74368, 0.64892, 0.09964, 0.82395, 0.84284, 0.85021, 0.39683, 0.88665,-1.45331,-0.75553,-1.45101, 0.64448,-0.71293, 8.45974, 0.83213, 0.90717, 0.89112, 0.17371, 0.97847, 0.88665, 0.87920, 0.87920, 0.27054, 0.27054, 0.11283,-0.47965, 8.53777,-0.97388,-0.60054, 1.99045, 1.00072, 2.19443, 8.48129,-0.65192, 0.42736, 1.13225, 1.01429,2127110,75984017,608.89321,17.04546, 0.00040, 1.44528,46.98455, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.64909, 1.59707,-1.52914, 2.69708,-1.55280, 0.00221, 0.83878,-0.61284,-0.51988,-0.11995,-0.99722,-0.12638,-1.02670,-0.27130,-0.74913, 0.03119,-0.72214,10.08797,-1.03911, 9.00012,-1.57165,-0.52622, 5.21171, 1.31562,-1.23704,-1.28824, 0.24877,-0.88598, 3.24198,-0.89100, 3.24962, 0.61103, 0.67882,-0.11608,-0.13667,-0.11596,-0.10775,-0.10563,-0.10124,-1.38626, 1.68173,-1.34120, 0.60006,-0.70559, 0.74691,-0.12775,-0.09704,-0.13921,-0.11606,-0.09765,-0.10124,-0.12995,-0.12995,-0.11398,-0.11398,-0.12634,-0.48743,-0.18701,-1.02670,-0.24614, 1.66833,-1.53511, 0.04270, 0.27426,-0.80090,15.24972, 1.16044, 1.00212,187019,1732525,480.88878,51.90998, 0.00000, 0.38994,24.30577, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.61918, 3.63059,-1.52914, 2.69708,-1.55262, 0.28714, 0.82053,-0.62729,-0.52863,-0.10776,-0.93085,-0.05401,-1.01308,-0.26994,-0.71064,-0.57844,-0.99543, 4.71527,-1.29068, 4.08017,-1.54690,-1.37388, 5.09033,-0.08016,-0.70943, 4.00855, 0.13418,-1.05035, 0.84027,-1.05793, 0.84123,-0.60438, 0.71097,-0.08080, 0.01633, 0.03676, 0.04483, 0.13662, 0.06242,-1.45282,-0.78565,-1.43860, 0.52272,-0.69882, 8.41740, 0.02514, 0.06927, 0.03436,-0.06771, 0.08074, 0.06242, 0.03845, 0.03845,-0.04898,-0.04898,-0.05362,-0.48772, 8.49119,-1.01308, 2.51663, 1.82869,-0.23850, 2.16573, 8.17917,-1.23186, 0.01919, 1.12036, 1.00503,750249,13381544,478.14064,26.80741, 0.00000, 1.96748,29.05313, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.55937, 7.69763,-1.52914, 2.69708,-1.55224, 0.85699, 0.81018,-0.62368,-0.51160,-0.05767,-0.66535, 0.22217,-0.95864, 0.13642,-0.57624,-0.62057,-1.10830, 2.49635,-1.38977, 2.04824,-1.60191,-1.38842, 4.48839,-1.47594,-1.22496, 2.31625, 0.31035,-1.16511,-0.15163,-1.17062,-0.15151,-0.75653, 0.64892, 0.19353, 1.24035, 1.25845, 1.26546, 0.61531, 1.31620,-1.45494,-0.82139,-1.45131, 0.61683,-0.71351, 8.63764, 1.24822, 1.34386, 1.33977, 0.29971, 1.44638, 1.31620, 1.31801, 1.31801, 0.43802, 0.43802, 0.22036,-0.48003, 8.79264,-0.95864,-0.55593, 2.00858, 1.04414, 2.19606, 8.95407,-0.67175, 0.67529, 1.13547, 1.01370,3026895,108495454,592.10894,16.51914, 0.00036, 1.45928,46.85583, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.64909, 1.59707,-1.51585, 3.02684,-1.55278, 0.03968, 0.83866,-0.61646,-0.51347,-0.11838,-0.99203,-0.12789,-1.02563,-0.27131,-0.74914, 0.84903,-0.66880, 9.92422,-0.98671, 8.85017,-1.58764, 0.60008, 5.20605, 1.31562,-1.24900,-1.30516, 0.37042,-1.00923, 3.16878,-1.01495, 3.17488, 0.32928, 0.65561,-0.11380,-0.12854,-0.10785,-0.09964,-0.10072,-0.09158,-1.40587, 0.92338,-1.39453, 0.43120,-0.70777, 3.45751,-0.11963,-0.08723,-0.12854,-0.11316,-0.08711,-0.09158,-0.11984,-0.11984,-0.10995,-0.10995,-0.12783,-0.48753, 2.40475,-1.02563,-0.25142, 1.89711, 1.28473, 0.55773, 1.83209,-0.76890,18.70444, 1.15729, 1.00171,256438,2370129,524.99325,56.80206, 0.00000, 0.54029,24.36641, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.61918, 3.63059,-1.51585, 3.02684,-1.55257, 0.35626, 0.82046,-0.62729,-0.52223,-0.10154,-0.91009,-0.04314,-1.00883,-0.25027,-0.70519,-0.02781,-0.96400, 4.70109,-1.26033, 4.06719,-1.59407,-0.55248, 5.11892,-0.08005, 5.46717, 3.59061, 0.25497,-1.08173, 0.83393,-1.08598, 0.83471,-0.63886, 0.68739,-0.06506, 0.08134, 0.10164, 0.10966, 0.01344, 0.13288,-1.44744,-0.57067,-1.43946, 0.43372,-0.69698, 7.77781, 0.09009, 0.14089, 0.10952,-0.04686, 0.15755, 0.13288, 0.11107, 0.11107,-0.02081,-0.02081,-0.04392,-0.48770, 7.82137,-1.00883,-0.37004, 1.88343, 1.00675, 2.15649, 7.16244,-0.70289, 0.04688, 1.12098, 1.00448,1028590,18366109,530.23769,29.69585, 0.00000, 1.71477,29.03886, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.55937, 7.69763,-1.51585, 3.02684,-1.55216, 0.98943, 0.81015,-0.62729,-0.51160,-0.03299,-0.58232, 0.33503,-0.94162, 0.31435,-0.54255,-0.54365,-1.09867, 2.31830,-1.38092, 1.88518,-1.55115,-1.31424, 4.28438,-1.47594,-1.22246, 2.01556, 0.37591,-1.15857,-0.23123,-1.16969,-0.23114,-0.76288, 0.64892, 0.31077, 1.76038, 1.77748, 1.78405, 2.56519, 1.85259,-1.45515,-0.83597,-1.45478, 0.59526,-0.71397, 8.69713, 1.76784, 1.88921, 1.90001, 0.45704, 2.03068, 1.85259, 1.86593, 1.86593, 0.64715, 0.64715, 0.34731,-0.48013, 8.85149,-0.94162, 2.69058, 2.01312, 1.39969, 2.19764, 9.06510,-0.63781, 0.90798, 1.14598, 1.01383,4152632,150206092,630.06063,17.41880, 0.00038, 1.46567,46.43728, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
KernelMatMultFast,-1.64909, 1.59707,-1.50257, 3.35660,-1.55276, 0.07714, 0.83856,-0.62729,-0.52333,-0.11658,-0.98630,-0.10619,-1.02445,-0.27128,-0.74906,-0.34140,-0.70953, 8.27707,-1.02950, 7.34182,-1.55022,-1.07369, 5.14342, 1.31562,-1.20300,-1.27608, 0.27820,-0.79957, 2.43247,-0.80830, 2.43674,-0.00280, 0.69142,-0.11118,-0.11862,-0.09794,-0.08975,-0.05562,-0.07978,-1.42646, 0.14071,-1.37964, 0.34331,-0.71141, 5.17532,-0.10971,-0.07524,-0.11550,-0.10962,-0.07423,-0.07978,-0.10750,-0.10750,-0.10503,-0.10503,-0.10596,-0.48761, 4.37509,-1.02445, 2.46512, 1.78311, 0.75079, 1.09314, 3.39551,-0.78507,26.79560, 1.13238, 1.00212,341459,3086735,479.76839,53.07266, 0.00000, 4.10135,24.84807, 0.27248, 0.11234,-1.63111,-1.63111,-0.53505,-0.12087,-0.98393,-1.61631,-0.70819,-1.23677, 0.61654,-1.02413,-0.51513,-1.03103
