kernel,blksz_x,blksz_y,blksz_z,grdsz_x,grdsz_y,grdsz_z,numele,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,stall_sleeping,duration,
KernelVectorAdd,32,1,1,64,1,1,1000000,109535.000000,100.000000,100.000000,96.512008,0.000032,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250096,125016,249012,135691,0.000000,0.000000,10.413605,5.206803,10.413605,5.206803,0.000000,0.000000,1.868800,0.000000,10.372451,5.652130,10.424269,10.413605,5.206803,10.417604,5.207469,0.000000,218.387695,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,62564,0,0,0,0,1000000,1000000,0,0,0,7010240,2003520,0.366691,53.414271,46.205085,0.000000,0.000000,0.000248,0.013361,0.000000,0.000000,1000000,0,17008192,0,2006144,3008192,39083968,0,2003520,94198,94198,125192,125192,0,0.000000,0.000000,0,250000,0.000345,0.000000,125000,0,0,0,0,0,0.037379,0.037380,77.924260,0.015625,0.037389,0.000000,0.006089,0.000000,0.000000,0.723062,
KernelVectorAdd,64,1,1,64,1,1,1000000,54847.500000,100.000000,100.000000,96.511740,0.000064,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250624,125016,245672,147198,0.000000,0.000000,20.386801,10.193400,20.386801,10.193400,0.000000,0.000000,1.870400,0.000000,20.033864,12.003585,20.428553,20.386801,10.193400,20.437686,10.194705,0.000000,427.539063,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,62628,0,0,0,0,1000000,1000000,0,0,0,2006912,2007040,0.475725,52.765204,46.730731,0.000000,0.000000,0.000000,0.027631,0.000000,0.000000,1000000,0,17016384,0,2012288,3016384,39167936,0,2007040,94646,94646,125384,125384,0,0.000000,0.000000,0,250000,0.000709,0.000000,125000,0,0,0,0,0,0.137372,0.073605,78.735283,0.031228,0.073605,0.000000,0.022169,0.000000,0.000000,0.369594,
KernelVectorAdd,96,1,1,64,1,1,1000000,36618.333333,100.000000,100.000000,96.511472,0.000096,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250096,125016,245444,147033,0.000000,0.000000,29.927539,14.963770,29.927539,14.963770,0.000000,0.000000,1.841600,0.000000,29.382140,17.601343,30.019477,29.927539,14.963770,29.939031,14.965685,0.000000,627.621094,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,62692,0,0,0,0,1000000,1000000,0,0,0,7030720,2010560,0.513507,52.061508,47.379361,0.000000,0.000000,0.000722,0.043910,0.000000,0.000000,1000000,0,17024576,0,2018432,3024576,39251904,0,2010560,95094,95094,125576,125576,0,0.000000,0.000000,0,250000,0.000992,0.000000,125000,0,0,0,0,0,0.108970,0.109094,76.333987,0.046795,0.109094,0.000000,0.017877,0.000000,0.000000,0.248604,
KernelVectorAdd,128,1,1,64,1,1,1000000,27503.750000,100.000000,100.000000,96.511206,0.000127,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250096,125016,244972,146849,0.000000,0.000000,39.149295,19.574647,39.149295,19.574647,0.000000,0.000000,1.892800,0.000000,38.361924,22.996139,39.309650,39.149295,19.574647,39.164328,19.577153,0.000000,821.014648,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,62756,0,0,0,0,1000000,1000000,0,0,0,2013824,2014080,0.560786,51.511710,47.864009,0.000000,0.000000,0.000000,0.062188,0.000000,0.000000,1000000,0,17032768,0,2024576,3032768,39335872,0,2014080,95542,95542,125768,125768,0,0.000000,0.000000,0,250000,0.001306,0.000000,125000,0,0,0,0,0,0.271420,0.143704,76.113523,0.062371,0.143704,0.000000,0.042248,0.000000,0.000000,0.190045,
KernelVectorAdd,160,1,1,64,1,1,1000000,22035.000000,100.000000,100.000000,96.510940,0.000159,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250096,125016,249048,135110,0.000000,0.000000,48.288520,24.144260,48.288520,24.144260,0.000000,0.000000,1.964800,0.000000,48.104637,26.097048,48.535757,48.288520,24.144260,48.307063,24.147350,0.000000,0.988942,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,62820,0,0,0,0,1000000,1000000,0,0,0,2017280,2017600,0.359140,51.005004,48.549942,0.000000,0.000000,0.001172,0.075886,0.004680,0.000000,1000000,0,17040960,0,2030720,3040960,39419840,0,2017600,95990,95990,125960,125960,0,0.000000,0.000000,0,250000,0.001636,0.002540,125000,0,0,0,0,0,0.333875,0.177627,75.821581,0.077524,0.177532,0.000000,0.052148,0.000000,0.000000,0.154974,
KernelVectorAdd,192,1,1,64,1,1,1000000,18389.166667,100.000000,100.000000,96.510675,0.000223,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250096,125016,245260,146478,0.000000,0.000000,56.889861,28.444930,56.889861,28.444930,0.000000,0.000000,0.382400,0.000000,55.811229,33.332452,57.239392,56.889861,28.444930,56.911706,28.448571,0.000000,1.165096,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,62884,0,0,0,0,1000000,1000000,0,0,0,2020736,2021120,0.357883,50.519547,49.020293,0.000000,0.000000,0.000000,0.088752,0.007439,0.000000,1000000,0,17049152,0,2036864,3049152,39503808,0,2021120,96438,96438,126152,126152,0,0.000000,0.000000,0,250000,0.001938,0.004148,125000,0,0,0,0,0,0.396288,0.210142,78.272524,0.093243,0.210751,0.000000,0.061307,0.000000,0.000000,0.131518,
KernelVectorAdd,224,1,1,64,1,1,1000000,15785.000000,100.000000,100.000000,96.510410,0.000221,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250328,125016,245492,145843,0.000000,0.000000,64.999046,32.499523,64.999046,32.499523,0.000000,0.000000,0.014400,0.000000,63.826983,37.918623,65.464959,64.999046,32.499523,65.084324,32.503683,0.000000,1.331172,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,62948,0,0,0,0,1000000,1000000,0,0,0,7071680,2024640,0.356219,49.951264,49.571507,0.000000,0.000000,0.001599,0.102013,0.009754,0.000000,1000000,0,17057344,0,2043008,3057344,39587776,0,2024640,96886,96886,126344,126344,0,0.000000,0.000000,0,250000,0.002223,0.005422,125000,0,0,0,0,0,0.241432,0.241486,74.762200,0.108893,0.242294,0.000000,0.068526,0.000000,0.000000,0.115806,
KernelVectorAdd,256,1,1,64,1,1,1000000,13831.875000,100.000000,100.000000,96.510147,0.000253,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250576,125016,245344,146711,0.000000,0.000000,72.923369,36.461684,72.923369,36.461684,0.000000,0.000000,2.012800,0.000000,71.565244,42.794641,73.520757,72.923369,36.461684,73.091384,36.466352,0.000000,1.493461,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,63012,0,0,0,0,1000000,1000000,0,0,0,7081920,2028160,0.357806,49.827384,49.559977,0.000000,0.000000,0.000000,0.235301,0.011445,0.000000,1000000,0,17065536,0,2049152,3065536,39671744,0,2028160,97334,97334,126536,126536,0,0.000000,0.000000,0,250000,0.002520,0.005566,125000,0,0,0,0,0,0.274251,0.274320,73.749967,0.124619,0.274865,0.000000,0.079000,0.000000,0.000000,0.101599,
KernelVectorAdd,288,1,1,64,1,1,1000000,12312.777778,100.000000,100.000000,96.509884,0.000284,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250624,125016,245284,145973,0.000000,0.000000,80.146518,40.073259,80.146518,40.073259,0.000000,0.000000,2.075200,0.000000,78.634634,46.796911,80.885148,80.146518,40.073259,80.346564,40.078388,0.000000,1.641390,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,63076,0,0,0,0,1000000,1000000,0,0,0,2031104,2031680,0.354198,49.044268,50.445543,0.000000,0.000000,0.002192,0.127318,0.015688,0.000000,1000000,0,17073728,0,2055296,3073728,39755712,0,2031680,97782,97782,126728,126728,0,0.000000,0.000000,0,250000,0.002812,0.007983,125000,0,0,0,0,0,0.549381,0.302924,73.799396,0.139184,0.303607,0.000000,0.087138,0.000000,0.000000,0.092543,
KernelVectorAdd,320,1,1,64,1,1,1000000,11097.500000,100.000000,100.000000,96.509622,0.000315,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,250000,125000,0,5,250576,125016,250084,135404,0.000000,0.000000,88.607725,44.303863,88.607725,44.303863,0.000000,0.000000,2.036800,0.000000,88.637498,47.991362,89.515069,88.607725,44.303863,88.811878,44.309534,0.000000,1.814674,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,63140,0,0,0,0,1000000,1000000,0,0,0,7102400,2035200,0.352771,48.565485,50.783722,0.000000,0.000000,0.000065,0.266061,0.019273,0.000000,1000000,0,17081920,0,2061440,3081920,39839680,0,2035200,98230,98230,126920,126920,0,0.000000,0.000000,0,250000,0.003073,0.009550,125000,0,0,0,0,0,0.332817,0.332922,73.578671,0.154635,0.332616,0.000000,0.092788,0.000000,0.000000,0.083679,
